	HospitalID	Name	Zip	TypeControl	Teaching	DonorType	NoFTE	NetPatRev	InOperExp	OutOperExp	OperRev	OperInc	AvlBeds	LastName	FirstName	Gender	PositionTitle	Compensation	MaxTerm	StartDate	Phone	Email
3	46996	Ridgecrest Regional Hospital	93555	Non Profit	Small/Rural	Charity	400.0	139170.3798	23385570.1	24661355.9	51087341	3040415	55	Roberts	Melissa	F	Safety Inspection Member	23987	2	1/1/2009	785-532-9779	melissa.roberts@txbiomed.net
4	37393	Barstow Community Hospital	92311	Investor	Small/Rural	Charity	262.0	116797.8306	13684502.49	15159986.51	42845642	14001153	42	Iwata	Akira	M	Regional Representative	46978	4	1/1/2011	801-611-9161	akira.iwata@hsu.edu
5	17741	St. Elizabeth Community Hospital	96080	Non Profit	Small/Rural	Charity	397.5	232503.0191	36682888.7	36739260.3	85808509	12386360	66	Marlin	Bill	M	Safety Inspection Member	23987	2	1/1/2011	503-645-7508	bill.marlin@larcmed.com
6	20277	Ukiah Valley Medical Center	95482	Non Profit	Small/Rural	Charity	503.5	214516.4481	32709222.65	43571851.35	79005075	2724001	65	Johanson	Sandy	F	Regional Representative	46978	4	1/1/2012	801-216-4821	sandy.johanson@ihc.com
8	29823	Colusa Regional Medical Center	95932-2954	Non Profit	Small/Rural	Charity	168.0	51726.4918	9022366.447	10402509.55	19445901	21025	48	Tanner	Patricia	F	Acting Director	248904	8	1/1/2009	801-687-7877	patricia.tanner@prohealth.net
9	13738	St. Mary Medical Center	92307-2206	Non Profit	Small/Rural	Charity	1216.0	540975.1175	125128283.3	66801544.65	199873795	7943967	186	Milgrom	Patricia	F	Safety Inspection Member	23987	2	1/1/2011	479-178-9584	patricia.milgrom@brokenhealth.com
10	38798	Goleta Valley Cottage Hospital	93111	Non Profit	Small/Rural	Charity	288.0	335179.5574	53589036.09	67030147.91	126303054	5683870	119	Iwata	Akira	M	Regional Representative	46978	4	1/1/2011	801-611-9161	akira.iwata@hsu.edu
11	46348	Barton Memorial Hospital	96150	Non Profit	Small/Rural	Charity	750.0	335179.5574	53589036.09	67030147.91	126303054	5683870	119	Paanua	Kaaluai	M	Regional Representative	46978	4	1/1/2011	479-684-1883	kaaluai.paanua@brokenhealth.com
12	33207	Memorial Hospital - Los Banos	93635-3419	Non Profit	Small/Rural	Charity	235.0	105166.8934	15065967.36	23338063.64	39282960	878929	48	Charles	Kenneth	M	State Board Representative	89473	3	1/1/2010	405-744-3412	kenneth.charles@edihealth.com
13	44817	Fairchild Medical Center	96097-3450	Non Profit	Small/Rural	Charity	250.0	108162.9126	14859739.23	23623658.77	40140721	1657323	25	Marlin	Bill	M	State Board Representative	89473	3	1/1/2010	503-645-7508	bill.marlin@larcmed.com
